@RELATION ALGORITHM_RUNS_CPMP-2015

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok , timeout , memout , not_applicable , crash , other}

@DATA
BF10_cpmp_16_8_77_16_58_13,1,Expectation_algorithm_survival_forest,3600,timeout
BF10_cpmp_16_8_77_16_58_13,1,PAR10_algorithm_survival_forest,3600,timeout
BF10_cpmp_16_8_77_16_58_13,1,isac,3600,timeout
BF10_cpmp_16_8_77_16_58_13,1,multiclass_algorithm_selector,3600,timeout
BF10_cpmp_16_8_77_16_58_13,1,per_algorithm_RandomForestRegressor_regressor,3600,timeout
BF10_cpmp_16_8_77_16_58_13,1,satzilla-11,3600,timeout
BF10_cpmp_16_8_77_16_58_13,1,sbs,3600,timeout
BF10_cpmp_16_8_77_16_58_13,1,sunny,3600,timeout
BF10_cpmp_16_8_77_16_58_3,1,Expectation_algorithm_survival_forest,3600,timeout
BF10_cpmp_16_8_77_16_58_3,1,PAR10_algorithm_survival_forest,3600,timeout
BF10_cpmp_16_8_77_16_58_3,1,isac,1.528,ok
BF10_cpmp_16_8_77_16_58_3,1,multiclass_algorithm_selector,1.528,ok
BF10_cpmp_16_8_77_16_58_3,1,per_algorithm_RandomForestRegressor_regressor,321.764,ok
BF10_cpmp_16_8_77_16_58_3,1,satzilla-11,321.764,ok
BF10_cpmp_16_8_77_16_58_3,1,sbs,1.528,ok
BF10_cpmp_16_8_77_16_58_3,1,sunny,3600,timeout
BF10_cpmp_16_8_77_16_58_8,1,Expectation_algorithm_survival_forest,141.857,ok
BF10_cpmp_16_8_77_16_58_8,1,PAR10_algorithm_survival_forest,141.857,ok
BF10_cpmp_16_8_77_16_58_8,1,isac,3600,timeout
BF10_cpmp_16_8_77_16_58_8,1,multiclass_algorithm_selector,141.857,ok
BF10_cpmp_16_8_77_16_58_8,1,per_algorithm_RandomForestRegressor_regressor,141.857,ok
BF10_cpmp_16_8_77_16_58_8,1,satzilla-11,141.857,ok
