@RELATION ALGORITHM_RUNS_CSP-MZN-2013

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok , timeout , memout , not_applicable , crash , other}

@DATA
bibd/bibd.mzn_AND_bibd/19_03_01.dzn,1,Expectation_algorithm_survival_forest,26.42,ok
bibd/bibd.mzn_AND_bibd/19_03_01.dzn,1,PAR10_algorithm_survival_forest,26.42,ok
bibd/bibd.mzn_AND_bibd/19_03_01.dzn,1,isac,26.42,ok
bibd/bibd.mzn_AND_bibd/19_03_01.dzn,1,multiclass_algorithm_selector,18.15,ok
bibd/bibd.mzn_AND_bibd/19_03_01.dzn,1,per_algorithm_RandomForestRegressor_regressor,18.15,ok
bibd/bibd.mzn_AND_bibd/19_03_01.dzn,1,satzilla-11,18.15,ok
bibd/bibd.mzn_AND_bibd/19_03_01.dzn,1,sbs,26.42,ok
bibd/bibd.mzn_AND_bibd/19_03_01.dzn,1,sunny,18.15,ok
bibd/bibd.mzn_AND_bibd/25_05_01.dzn,1,Expectation_algorithm_survival_forest,32.76,ok
bibd/bibd.mzn_AND_bibd/25_05_01.dzn,1,PAR10_algorithm_survival_forest,32.76,ok
bibd/bibd.mzn_AND_bibd/25_05_01.dzn,1,isac,32.76,ok
bibd/bibd.mzn_AND_bibd/25_05_01.dzn,1,multiclass_algorithm_selector,1800,timeout
bibd/bibd.mzn_AND_bibd/25_05_01.dzn,1,per_algorithm_RandomForestRegressor_regressor,11.41,ok
bibd/bibd.mzn_AND_bibd/25_05_01.dzn,1,satzilla-11,1800,timeout
bibd/bibd.mzn_AND_bibd/25_05_01.dzn,1,sbs,32.76,ok
bibd/bibd.mzn_AND_bibd/25_05_01.dzn,1,sunny,11.41,ok
black-hole/black-hole.mzn_AND_black-hole/11.dzn,1,Expectation_algorithm_survival_forest,12.5,ok
black-hole/black-hole.mzn_AND_black-hole/11.dzn,1,PAR10_algorithm_survival_forest,12.5,ok
black-hole/black-hole.mzn_AND_black-hole/11.dzn,1,isac,12.5,ok
black-hole/black-hole.mzn_AND_black-hole/11.dzn,1,multiclass_algorithm_selector,12.5,ok
