@RELATION ALGORITHM_RUNS_BNSL-2016

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok , timeout , memout , not_applicable , crash , other}

@DATA
abscisic_bdeu-0.1-2,1,Expectation_algorithm_survival_forest,7.14,ok
abscisic_bdeu-0.1-2,1,PAR10_algorithm_survival_forest,7.14,ok
abscisic_bdeu-0.1-2,1,isac,6.36,ok
abscisic_bdeu-0.1-2,1,multiclass_algorithm_selector,7.14,ok
abscisic_bdeu-0.1-2,1,oracle,6.36,ok
abscisic_bdeu-0.1-2,1,per_algorithm_RandomForestRegressor_regressor,9.27,ok
abscisic_bdeu-0.1-2,1,satzilla-11,7.14,ok
abscisic_bdeu-0.1-2,1,sbs,6.36,ok
abscisic_bdeu-0.1-2,1,sunny,6.36,ok
abscisic_bdeu-1-2,1,Expectation_algorithm_survival_forest,11.53,ok
abscisic_bdeu-1-2,1,PAR10_algorithm_survival_forest,11.53,ok
abscisic_bdeu-1-2,1,isac,7200,timeout
abscisic_bdeu-1-2,1,multiclass_algorithm_selector,11.53,ok
abscisic_bdeu-1-2,1,oracle,11.53,ok
abscisic_bdeu-1-2,1,per_algorithm_RandomForestRegressor_regressor,11.53,ok
abscisic_bdeu-1-2,1,satzilla-11,11.53,ok
abscisic_bdeu-1-2,1,sbs,7200,timeout
abscisic_bdeu-1-2,1,sunny,11.53,ok
abscisic_bdeu-10-2,1,Expectation_algorithm_survival_forest,1.76,ok
abscisic_bdeu-10-2,1,PAR10_algorithm_survival_forest,1.76,ok
abscisic_bdeu-10-2,1,isac,7200,timeout
abscisic_bdeu-10-2,1,multiclass_algorithm_selector,1.76,ok
abscisic_bdeu-10-2,1,oracle,1.76,ok
abscisic_bdeu-10-2,1,per_algorithm_RandomForestRegressor_regressor,1.76,ok
abscisic_bdeu-10-2,1,satzilla-11,1.76,ok
abscisic_bdeu-10-2,1,sbs,7200,timeout
abscisic_bdeu-10-2,1,sunny,6.7,ok
abscisic_bdeu-100-2,1,Expectation_algorithm_survival_forest,64.66,ok
abscisic_bdeu-100-2,1,PAR10_algorithm_survival_forest,82.49,ok
abscisic_bdeu-100-2,1,isac,64.66,ok
abscisic_bdeu-100-2,1,multiclass_algorithm_selector,64.66,ok
abscisic_bdeu-100-2,1,oracle,60.05,ok
abscisic_bdeu-100-2,1,per_algorithm_RandomForestRegressor_regressor,163.89,ok
abscisic_bdeu-100-2,1,satzilla-11,64.66,ok
abscisic_bdeu-100-2,1,sbs,64.66,ok
abscisic_bdeu-100-2,1,sunny,60.05,ok
abscisic_bdeu-100-3,1,Expectation_algorithm_survival_forest,5.76,ok
abscisic_bdeu-100-3,1,PAR10_algorithm_survival_forest,5.76,ok
abscisic_bdeu-100-3,1,isac,0.21,ok
abscisic_bdeu-100-3,1,multiclass_algorithm_selector,0.21,ok
abscisic_bdeu-100-3,1,oracle,0.21,ok
abscisic_bdeu-100-3,1,per_algorithm_RandomForestRegressor_regressor,0.21,ok
abscisic_bdeu-100-3,1,satzilla-11,0.21,ok
abscisic_bdeu-100-3,1,sbs,821.38,ok
abscisic_bdeu-100-3,1,sunny,0.21,ok
abscisic_bic-2,1,Expectation_algorithm_survival_forest,1886.58,ok
abscisic_bic-2,1,PAR10_algorithm_survival_forest,1886.58,ok
abscisic_bic-2,1,isac,7200,timeout
abscisic_bic-2,1,multiclass_algorithm_selector,683.21,ok
abscisic_bic-2,1,oracle,683.21,ok
abscisic_bic-2,1,per_algorithm_RandomForestRegressor_regressor,1490.35,ok
abscisic_bic-2,1,satzilla-11,683.21,ok
abscisic_bic-2,1,sbs,7200,timeout
abscisic_bic-2,1,sunny,1886.58,ok
alarm_10000_bdeu-0.1-2,1,Expectation_algorithm_survival_forest,6.67,ok
alarm_10000_bdeu-0.1-2,1,PAR10_algorithm_survival_forest,6.67,ok
