@RELATION ALGORITHM_RUNS_CSP-Minizinc-Time-2016

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok , timeout , memout , not_applicable , crash , other}

@DATA
12_2_10,1,Expectation_algorithm_survival_forest,0.054,ok
12_2_10,1,PAR10_algorithm_survival_forest,0.054,ok
12_2_10,1,isac,0.042,ok
12_2_10,1,multiclass_algorithm_selector,0.042,ok
12_2_10,1,oracle,0.042,ok
12_2_10,1,per_algorithm_RandomForestRegressor_regressor,0.042,ok
12_2_10,1,satzilla-11,0.042,ok
12_2_10,1,sbs,0.054,ok
12_2_10,1,sunny,0.053,ok
12_2_5,1,Expectation_algorithm_survival_forest,0.046,ok
12_2_5,1,PAR10_algorithm_survival_forest,0.046,ok
12_2_5,1,isac,0.041,ok
12_2_5,1,multiclass_algorithm_selector,0.041,ok
12_2_5,1,oracle,0.039,ok
12_2_5,1,per_algorithm_RandomForestRegressor_regressor,0.041,ok
12_2_5,1,satzilla-11,0.041,ok
12_2_5,1,sbs,0.046,ok
12_2_5,1,sunny,0.043000000000000003,ok
12__6__8__3,1,Expectation_algorithm_survival_forest,1200,timeout
12__6__8__3,1,PAR10_algorithm_survival_forest,1200,timeout
12__6__8__3,1,isac,245.061,ok
12__6__8__3,1,multiclass_algorithm_selector,1003.303,ok
12__6__8__3,1,oracle,245.061,ok
12__6__8__3,1,per_algorithm_RandomForestRegressor_regressor,1200,timeout
12__6__8__3,1,satzilla-11,1200,timeout
12__6__8__3,1,sbs,1200,timeout
12__6__8__3,1,sunny,1200,timeout
12__8__6__3,1,Expectation_algorithm_survival_forest,90.656,ok
12__8__6__3,1,PAR10_algorithm_survival_forest,90.656,ok
12__8__6__3,1,isac,1200,timeout
12__8__6__3,1,multiclass_algorithm_selector,249.622,ok
12__8__6__3,1,oracle,31.393,ok
12__8__6__3,1,per_algorithm_RandomForestRegressor_regressor,249.622,ok
12__8__6__3,1,satzilla-11,70.035,ok
12__8__6__3,1,sbs,1200,timeout
12__8__6__3,1,sunny,44.163000000000004,ok
14__10__8__3,1,Expectation_algorithm_survival_forest,0.075,ok
14__10__8__3,1,PAR10_algorithm_survival_forest,0.8180000000000001,ok
14__10__8__3,1,isac,0.075,ok
14__10__8__3,1,multiclass_algorithm_selector,0.075,ok
14__10__8__3,1,oracle,0.052000000000000005,ok
14__10__8__3,1,per_algorithm_RandomForestRegressor_regressor,0.497,ok
14__10__8__3,1,satzilla-11,0.075,ok
14__10__8__3,1,sbs,0.075,ok
14__10__8__3,1,sunny,0.075,ok
14__6__8__3,1,Expectation_algorithm_survival_forest,1200,timeout
14__6__8__3,1,PAR10_algorithm_survival_forest,1200,timeout
14__6__8__3,1,isac,1200,timeout
14__6__8__3,1,multiclass_algorithm_selector,147.968,ok
14__6__8__3,1,oracle,59.808,ok
14__6__8__3,1,per_algorithm_RandomForestRegressor_regressor,147.968,ok
14__6__8__3,1,satzilla-11,147.968,ok
14__6__8__3,1,sbs,1200,timeout
14__6__8__3,1,sunny,1200,timeout
14__8__6__3,1,Expectation_algorithm_survival_forest,1.336,ok
14__8__6__3,1,PAR10_algorithm_survival_forest,1.336,ok
14__8__6__3,1,isac,68.657,ok
14__8__6__3,1,multiclass_algorithm_selector,68.657,ok
14__8__6__3,1,oracle,1.331,ok
14__8__6__3,1,per_algorithm_RandomForestRegressor_regressor,3.733,ok
14__8__6__3,1,satzilla-11,1.336,ok
14__8__6__3,1,sbs,1.336,ok
14__8__6__3,1,sunny,1.951,ok
18_3_10,1,Expectation_algorithm_survival_forest,0.05,ok
18_3_10,1,PAR10_algorithm_survival_forest,0.05,ok
18_3_10,1,isac,0.053,ok
18_3_10,1,multiclass_algorithm_selector,0.053,ok
18_3_10,1,oracle,0.041,ok
18_3_10,1,per_algorithm_RandomForestRegressor_regressor,0.046,ok
18_3_10,1,satzilla-11,0.053,ok
18_3_10,1,sbs,0.05,ok
18_3_10,1,sunny,0.053,ok
18_3_5,1,Expectation_algorithm_survival_forest,0.157,ok
18_3_5,1,PAR10_algorithm_survival_forest,0.587,ok
18_3_5,1,isac,0.154,ok
18_3_5,1,multiclass_algorithm_selector,0.154,ok
18_3_5,1,oracle,0.07,ok
18_3_5,1,per_algorithm_RandomForestRegressor_regressor,0.154,ok
18_3_5,1,satzilla-11,0.154,ok
18_3_5,1,sbs,0.154,ok
18_3_5,1,sunny,0.073,ok
24_4_10,1,Expectation_algorithm_survival_forest,0.05,ok
24_4_10,1,PAR10_algorithm_survival_forest,0.05,ok
24_4_10,1,isac,0.045,ok
24_4_10,1,multiclass_algorithm_selector,0.045,ok
24_4_10,1,oracle,0.034,ok
24_4_10,1,per_algorithm_RandomForestRegressor_regressor,0.04,ok
24_4_10,1,satzilla-11,0.045,ok
24_4_10,1,sbs,0.05,ok
24_4_10,1,sunny,0.045,ok
25_01,1,Expectation_algorithm_survival_forest,8.203,ok
25_01,1,PAR10_algorithm_survival_forest,0.46900000000000003,ok
25_01,1,isac,0.081,ok
25_01,1,multiclass_algorithm_selector,0.081,ok
25_01,1,oracle,0.081,ok
25_01,1,per_algorithm_RandomForestRegressor_regressor,0.559,ok
25_01,1,satzilla-11,0.081,ok
25_01,1,sbs,0.081,ok
25_01,1,sunny,10.726,ok
25_03,1,Expectation_algorithm_survival_forest,0.176,ok
25_03,1,PAR10_algorithm_survival_forest,0.176,ok
25_03,1,isac,0.06,ok
25_03,1,multiclass_algorithm_selector,0.06,ok
25_03,1,oracle,0.06,ok
25_03,1,per_algorithm_RandomForestRegressor_regressor,0.06,ok
25_03,1,satzilla-11,0.06,ok
25_03,1,sbs,0.06,ok
25_03,1,sunny,0.06,ok
25_04,1,Expectation_algorithm_survival_forest,1200,timeout
25_04,1,PAR10_algorithm_survival_forest,1200,timeout
25_04,1,isac,1200,timeout
25_04,1,multiclass_algorithm_selector,1200,timeout
25_04,1,oracle,1200,timeout
25_04,1,per_algorithm_RandomForestRegressor_regressor,1200,timeout
25_04,1,satzilla-11,1200,timeout
25_04,1,sbs,1200,timeout
25_04,1,sunny,1200,timeout
25_06,1,Expectation_algorithm_survival_forest,6.617,ok
25_06,1,PAR10_algorithm_survival_forest,6.617,ok
25_06,1,isac,23.511,ok
25_06,1,multiclass_algorithm_selector,23.511,ok
25_06,1,oracle,0.65,ok
25_06,1,per_algorithm_RandomForestRegressor_regressor,0.65,ok
25_06,1,satzilla-11,23.511,ok
25_06,1,sbs,6.617,ok
25_06,1,sunny,546.98,ok
28-4-7-1,1,Expectation_algorithm_survival_forest,132.972,ok
28-4-7-1,1,PAR10_algorithm_survival_forest,132.972,ok
28-4-7-1,1,isac,1200,timeout
28-4-7-1,1,multiclass_algorithm_selector,1200,timeout
28-4-7-1,1,oracle,132.972,ok
28-4-7-1,1,per_algorithm_RandomForestRegressor_regressor,132.972,ok
28-4-7-1,1,satzilla-11,1200,timeout
