@RELATION ALGORITHM_RUNS_QBF-2011

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok , timeout , memout , not_applicable , crash , other}

@DATA
Adder2-10-s-shuffled,1,Expectation_algorithm_survival_forest,0.18,ok
Adder2-10-s-shuffled,1,PAR10_algorithm_survival_forest,0.18,ok
Adder2-10-s-shuffled,1,isac,0.29,ok
Adder2-10-s-shuffled,1,multiclass_algorithm_selector,0.73,ok
Adder2-10-s-shuffled,1,oracle,0.18,ok
Adder2-10-s-shuffled,1,per_algorithm_RandomForestRegressor_regressor,0.29,ok
Adder2-10-s-shuffled,1,satzilla-11,0.73,ok
Adder2-10-s-shuffled,1,sbs,0.29,ok
Adder2-10-s-shuffled,1,sunny,0.18,ok
Adder2-4-s-shuffled,1,Expectation_algorithm_survival_forest,0.2,ok
Adder2-4-s-shuffled,1,PAR10_algorithm_survival_forest,0.2,ok
Adder2-4-s-shuffled,1,isac,0.2,ok
Adder2-4-s-shuffled,1,multiclass_algorithm_selector,0.2,ok
Adder2-4-s-shuffled,1,oracle,0.1,ok
Adder2-4-s-shuffled,1,per_algorithm_RandomForestRegressor_regressor,0.2,ok
Adder2-4-s-shuffled,1,satzilla-11,0.2,ok
Adder2-4-s-shuffled,1,sbs,0.2,ok
Adder2-4-s-shuffled,1,sunny,0.2,ok
Adder2-6-c-shuffled,1,Expectation_algorithm_survival_forest,3600,timeout
Adder2-6-c-shuffled,1,PAR10_algorithm_survival_forest,3600,timeout
Adder2-6-c-shuffled,1,isac,3600,timeout
Adder2-6-c-shuffled,1,multiclass_algorithm_selector,3600,timeout
Adder2-6-c-shuffled,1,oracle,3600,timeout
Adder2-6-c-shuffled,1,per_algorithm_RandomForestRegressor_regressor,3600,timeout
Adder2-6-c-shuffled,1,satzilla-11,3600,timeout
Adder2-6-c-shuffled,1,sbs,3600,timeout
Adder2-6-c-shuffled,1,sunny,3600,timeout
Adder2-6-s-shuffled,1,Expectation_algorithm_survival_forest,3600,timeout
Adder2-6-s-shuffled,1,PAR10_algorithm_survival_forest,3600,timeout
Adder2-6-s-shuffled,1,isac,474.37,ok
Adder2-6-s-shuffled,1,multiclass_algorithm_selector,474.37,ok
Adder2-6-s-shuffled,1,oracle,474.37,ok
Adder2-6-s-shuffled,1,per_algorithm_RandomForestRegressor_regressor,474.37,ok
Adder2-6-s-shuffled,1,satzilla-11,474.37,ok
Adder2-6-s-shuffled,1,sbs,3600,timeout
Adder2-6-s-shuffled,1,sunny,474.37,ok
BLOCKS3i.5.3-shuffled,1,Expectation_algorithm_survival_forest,782.72,ok
BLOCKS3i.5.3-shuffled,1,PAR10_algorithm_survival_forest,75.37,ok
BLOCKS3i.5.3-shuffled,1,isac,2499.83,ok
BLOCKS3i.5.3-shuffled,1,multiclass_algorithm_selector,2499.83,ok
BLOCKS3i.5.3-shuffled,1,oracle,75.37,ok
BLOCKS3i.5.3-shuffled,1,per_algorithm_RandomForestRegressor_regressor,75.37,ok
BLOCKS3i.5.3-shuffled,1,satzilla-11,75.37,ok
BLOCKS3i.5.3-shuffled,1,sbs,782.72,ok
BLOCKS3i.5.3-shuffled,1,sunny,75.37,ok
BLOCKS3ii.5.2-shuffled,1,Expectation_algorithm_survival_forest,3600,timeout
BLOCKS3ii.5.2-shuffled,1,PAR10_algorithm_survival_forest,3600,timeout
BLOCKS3ii.5.2-shuffled,1,isac,3600,timeout
BLOCKS3ii.5.2-shuffled,1,multiclass_algorithm_selector,3600,timeout
BLOCKS3ii.5.2-shuffled,1,oracle,3600,timeout
BLOCKS3ii.5.2-shuffled,1,per_algorithm_RandomForestRegressor_regressor,3600,timeout
BLOCKS3ii.5.2-shuffled,1,satzilla-11,3600,timeout
BLOCKS3ii.5.2-shuffled,1,sbs,3600,timeout
BLOCKS3ii.5.2-shuffled,1,sunny,3600,timeout
BLOCKS3iii.5-shuffled,1,Expectation_algorithm_survival_forest,3600,timeout
