@RELATION ALGORITHM_RUNS_SAT03-16_INDU

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok , timeout , memout , not_applicable , crash , other}

@DATA
SAT-Comp-2016-CNF/app16/10pipe_k.cnf.gz,1,Expectation_algorithm_survival_forest,2.836,ok
SAT-Comp-2016-CNF/app16/10pipe_k.cnf.gz,1,PAR10_algorithm_survival_forest,2.836,ok
SAT-Comp-2016-CNF/app16/10pipe_k.cnf.gz,1,isac,544.408,ok
SAT-Comp-2016-CNF/app16/10pipe_k.cnf.gz,1,multiclass_algorithm_selector,2.836,ok
SAT-Comp-2016-CNF/app16/10pipe_k.cnf.gz,1,oracle,2.836,ok
SAT-Comp-2016-CNF/app16/10pipe_k.cnf.gz,1,per_algorithm_RandomForestRegressor_regressor,46.312,ok
SAT-Comp-2016-CNF/app16/10pipe_k.cnf.gz,1,satzilla-11,46.312,ok
SAT-Comp-2016-CNF/app16/10pipe_k.cnf.gz,1,sbs,71.464,ok
SAT-Comp-2016-CNF/app16/10pipe_k.cnf.gz,1,sunny,2.836,ok
SAT-Comp-2016-CNF/app16/14pipe_q0_k.cnf.gz,1,Expectation_algorithm_survival_forest,30.7,ok
SAT-Comp-2016-CNF/app16/14pipe_q0_k.cnf.gz,1,PAR10_algorithm_survival_forest,30.7,ok
SAT-Comp-2016-CNF/app16/14pipe_q0_k.cnf.gz,1,isac,12.596,ok
SAT-Comp-2016-CNF/app16/14pipe_q0_k.cnf.gz,1,multiclass_algorithm_selector,11.656,ok
SAT-Comp-2016-CNF/app16/14pipe_q0_k.cnf.gz,1,oracle,9.288,ok
SAT-Comp-2016-CNF/app16/14pipe_q0_k.cnf.gz,1,per_algorithm_RandomForestRegressor_regressor,9.288,ok
SAT-Comp-2016-CNF/app16/14pipe_q0_k.cnf.gz,1,satzilla-11,11.656,ok
SAT-Comp-2016-CNF/app16/14pipe_q0_k.cnf.gz,1,sbs,13.164,ok
SAT-Comp-2016-CNF/app16/14pipe_q0_k.cnf.gz,1,sunny,15.708,ok
SAT-Comp-2016-CNF/app16/16pipe_16_ooo.cnf.gz,1,Expectation_algorithm_survival_forest,17.02,ok
SAT-Comp-2016-CNF/app16/16pipe_16_ooo.cnf.gz,1,PAR10_algorithm_survival_forest,17.02,ok
SAT-Comp-2016-CNF/app16/16pipe_16_ooo.cnf.gz,1,isac,17.02,ok
SAT-Comp-2016-CNF/app16/16pipe_16_ooo.cnf.gz,1,multiclass_algorithm_selector,17.02,ok
SAT-Comp-2016-CNF/app16/16pipe_16_ooo.cnf.gz,1,oracle,13.712,ok
SAT-Comp-2016-CNF/app16/16pipe_16_ooo.cnf.gz,1,per_algorithm_RandomForestRegressor_regressor,16.14,ok
SAT-Comp-2016-CNF/app16/16pipe_16_ooo.cnf.gz,1,satzilla-11,17.02,ok
SAT-Comp-2016-CNF/app16/16pipe_16_ooo.cnf.gz,1,sbs,16.14,ok
SAT-Comp-2016-CNF/app16/16pipe_16_ooo.cnf.gz,1,sunny,17.02,ok
SAT-Comp-2016-CNF/app16/1dlx_c_iq57_a.cnf.gz,1,Expectation_algorithm_survival_forest,19.092,ok
SAT-Comp-2016-CNF/app16/1dlx_c_iq57_a.cnf.gz,1,PAR10_algorithm_survival_forest,19.092,ok
SAT-Comp-2016-CNF/app16/1dlx_c_iq57_a.cnf.gz,1,isac,17.464,ok
SAT-Comp-2016-CNF/app16/1dlx_c_iq57_a.cnf.gz,1,multiclass_algorithm_selector,14.736,ok
SAT-Comp-2016-CNF/app16/1dlx_c_iq57_a.cnf.gz,1,oracle,14.736,ok
SAT-Comp-2016-CNF/app16/1dlx_c_iq57_a.cnf.gz,1,per_algorithm_RandomForestRegressor_regressor,14.736,ok
SAT-Comp-2016-CNF/app16/1dlx_c_iq57_a.cnf.gz,1,satzilla-11,14.736,ok
SAT-Comp-2016-CNF/app16/1dlx_c_iq57_a.cnf.gz,1,sbs,19.092,ok
SAT-Comp-2016-CNF/app16/1dlx_c_iq57_a.cnf.gz,1,sunny,17.464,ok
SAT-Comp-2016-CNF/app16/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf.gz,1,Expectation_algorithm_survival_forest,425.82,ok
SAT-Comp-2016-CNF/app16/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf.gz,1,PAR10_algorithm_survival_forest,425.82,ok
SAT-Comp-2016-CNF/app16/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf.gz,1,isac,425.82,ok
SAT-Comp-2016-CNF/app16/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf.gz,1,multiclass_algorithm_selector,5000,timeout
SAT-Comp-2016-CNF/app16/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf.gz,1,oracle,425.82,ok
SAT-Comp-2016-CNF/app16/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf.gz,1,per_algorithm_RandomForestRegressor_regressor,5000,timeout
SAT-Comp-2016-CNF/app16/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf.gz,1,satzilla-11,1221.46,ok
SAT-Comp-2016-CNF/app16/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf.gz,1,sbs,1442.44,ok
SAT-Comp-2016-CNF/app16/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf.gz,1,sunny,5000,timeout
SAT-Comp-2016-CNF/app16/9dlx_vliw_at_b_iq8.used-as.sat04-718.cnf.gz,1,Expectation_algorithm_survival_forest,0.204,ok
SAT-Comp-2016-CNF/app16/9dlx_vliw_at_b_iq8.used-as.sat04-718.cnf.gz,1,PAR10_algorithm_survival_forest,0.204,ok
SAT-Comp-2016-CNF/app16/9dlx_vliw_at_b_iq8.used-as.sat04-718.cnf.gz,1,isac,0.204,ok
SAT-Comp-2016-CNF/app16/9dlx_vliw_at_b_iq8.used-as.sat04-718.cnf.gz,1,multiclass_algorithm_selector,0.24,ok
SAT-Comp-2016-CNF/app16/9dlx_vliw_at_b_iq8.used-as.sat04-718.cnf.gz,1,oracle,0.16,ok
SAT-Comp-2016-CNF/app16/9dlx_vliw_at_b_iq8.used-as.sat04-718.cnf.gz,1,per_algorithm_RandomForestRegressor_regressor,0.176,ok
SAT-Comp-2016-CNF/app16/9dlx_vliw_at_b_iq8.used-as.sat04-718.cnf.gz,1,satzilla-11,0.24,ok
SAT-Comp-2016-CNF/app16/9dlx_vliw_at_b_iq8.used-as.sat04-718.cnf.gz,1,sbs,0.204,ok
SAT-Comp-2016-CNF/app16/9dlx_vliw_at_b_iq8.used-as.sat04-718.cnf.gz,1,sunny,0.48,ok
SAT-Comp-2016-CNF/app16/9dlx_vliw_at_b_iq9.used-as.sat04-719.cnf.gz,1,Expectation_algorithm_survival_forest,612.144,ok
SAT-Comp-2016-CNF/app16/9dlx_vliw_at_b_iq9.used-as.sat04-719.cnf.gz,1,PAR10_algorithm_survival_forest,612.144,ok
SAT-Comp-2016-CNF/app16/9dlx_vliw_at_b_iq9.used-as.sat04-719.cnf.gz,1,isac,877.132,ok
SAT-Comp-2016-CNF/app16/9dlx_vliw_at_b_iq9.used-as.sat04-719.cnf.gz,1,multiclass_algorithm_selector,293.74,ok
SAT-Comp-2016-CNF/app16/9dlx_vliw_at_b_iq9.used-as.sat04-719.cnf.gz,1,oracle,293.74,ok
SAT-Comp-2016-CNF/app16/9dlx_vliw_at_b_iq9.used-as.sat04-719.cnf.gz,1,per_algorithm_RandomForestRegressor_regressor,612.144,ok
SAT-Comp-2016-CNF/app16/9dlx_vliw_at_b_iq9.used-as.sat04-719.cnf.gz,1,satzilla-11,293.74,ok
SAT-Comp-2016-CNF/app16/9dlx_vliw_at_b_iq9.used-as.sat04-719.cnf.gz,1,sbs,877.132,ok
SAT-Comp-2016-CNF/app16/9dlx_vliw_at_b_iq9.used-as.sat04-719.cnf.gz,1,sunny,293.74,ok
SAT-Comp-2016-CNF/app16/ACG-20-10p0.cnf.gz,1,Expectation_algorithm_survival_forest,5000,timeout
SAT-Comp-2016-CNF/app16/ACG-20-10p0.cnf.gz,1,PAR10_algorithm_survival_forest,5000,timeout
SAT-Comp-2016-CNF/app16/ACG-20-10p0.cnf.gz,1,isac,5000,timeout
SAT-Comp-2016-CNF/app16/ACG-20-10p0.cnf.gz,1,multiclass_algorithm_selector,5000,timeout
SAT-Comp-2016-CNF/app16/ACG-20-10p0.cnf.gz,1,oracle,5000,timeout
SAT-Comp-2016-CNF/app16/ACG-20-10p0.cnf.gz,1,per_algorithm_RandomForestRegressor_regressor,5000,timeout
SAT-Comp-2016-CNF/app16/ACG-20-10p0.cnf.gz,1,satzilla-11,5000,timeout
SAT-Comp-2016-CNF/app16/ACG-20-10p0.cnf.gz,1,sbs,5000,timeout
SAT-Comp-2016-CNF/app16/ACG-20-10p0.cnf.gz,1,sunny,5000,timeout
