@RELATION ALGORITHM_RUNS_SAT12-INDU

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok , timeout , memout , not_applicable , crash , other}

@DATA
SAT-Race-2010-CNF/cryptography/desgen/gss-16-s100.cnf,1,Expectation_algorithm_survival_forest,222.8,ok
SAT-Race-2010-CNF/cryptography/desgen/gss-16-s100.cnf,1,PAR10_algorithm_survival_forest,222.8,ok
SAT-Race-2010-CNF/cryptography/desgen/gss-16-s100.cnf,1,isac,228.63,ok
SAT-Race-2010-CNF/cryptography/desgen/gss-16-s100.cnf,1,multiclass_algorithm_selector,255.04,ok
SAT-Race-2010-CNF/cryptography/desgen/gss-16-s100.cnf,1,oracle,222.8,ok
SAT-Race-2010-CNF/cryptography/desgen/gss-16-s100.cnf,1,per_algorithm_RandomForestRegressor_regressor,255.04,ok
SAT-Race-2010-CNF/cryptography/desgen/gss-16-s100.cnf,1,satzilla-11,228.63,ok
SAT-Race-2010-CNF/cryptography/desgen/gss-16-s100.cnf,1,sbs,378.11,ok
SAT-Race-2010-CNF/cryptography/desgen/gss-16-s100.cnf,1,sunny,222.8,ok
SAT-Race-2010-CNF/cryptography/desgen/gss-19-s100.cnf,1,Expectation_algorithm_survival_forest,6.38,ok
SAT-Race-2010-CNF/cryptography/desgen/gss-19-s100.cnf,1,PAR10_algorithm_survival_forest,6.38,ok
SAT-Race-2010-CNF/cryptography/desgen/gss-19-s100.cnf,1,isac,19.74,ok
SAT-Race-2010-CNF/cryptography/desgen/gss-19-s100.cnf,1,multiclass_algorithm_selector,5.31,ok
SAT-Race-2010-CNF/cryptography/desgen/gss-19-s100.cnf,1,oracle,1.09,ok
SAT-Race-2010-CNF/cryptography/desgen/gss-19-s100.cnf,1,per_algorithm_RandomForestRegressor_regressor,19.74,ok
SAT-Race-2010-CNF/cryptography/desgen/gss-19-s100.cnf,1,satzilla-11,4.12,ok
SAT-Race-2010-CNF/cryptography/desgen/gss-19-s100.cnf,1,sbs,19.74,ok
SAT-Race-2010-CNF/cryptography/desgen/gss-19-s100.cnf,1,sunny,5.31,ok
SAT-Race-2010-CNF/cryptography/desgen/gss-20-s100.cnf,1,Expectation_algorithm_survival_forest,1200,timeout
SAT-Race-2010-CNF/cryptography/desgen/gss-20-s100.cnf,1,PAR10_algorithm_survival_forest,1200,timeout
SAT-Race-2010-CNF/cryptography/desgen/gss-20-s100.cnf,1,isac,1200,timeout
SAT-Race-2010-CNF/cryptography/desgen/gss-20-s100.cnf,1,multiclass_algorithm_selector,1200,timeout
SAT-Race-2010-CNF/cryptography/desgen/gss-20-s100.cnf,1,oracle,1200,timeout
SAT-Race-2010-CNF/cryptography/desgen/gss-20-s100.cnf,1,per_algorithm_RandomForestRegressor_regressor,1200,timeout
SAT-Race-2010-CNF/cryptography/desgen/gss-20-s100.cnf,1,satzilla-11,1200,timeout
SAT-Race-2010-CNF/cryptography/desgen/gss-20-s100.cnf,1,sbs,1200,timeout
SAT-Race-2010-CNF/cryptography/desgen/gss-20-s100.cnf,1,sunny,1200,timeout
SAT-Race-2010-CNF/cryptography/desgen/gss-31-s100.cnf,1,Expectation_algorithm_survival_forest,48.63,ok
SAT-Race-2010-CNF/cryptography/desgen/gss-31-s100.cnf,1,PAR10_algorithm_survival_forest,48.63,ok
SAT-Race-2010-CNF/cryptography/desgen/gss-31-s100.cnf,1,isac,48.63,ok
SAT-Race-2010-CNF/cryptography/desgen/gss-31-s100.cnf,1,multiclass_algorithm_selector,42.3,ok
SAT-Race-2010-CNF/cryptography/desgen/gss-31-s100.cnf,1,oracle,42.3,ok
SAT-Race-2010-CNF/cryptography/desgen/gss-31-s100.cnf,1,per_algorithm_RandomForestRegressor_regressor,48.63,ok
SAT-Race-2010-CNF/cryptography/desgen/gss-31-s100.cnf,1,satzilla-11,42.3,ok
SAT-Race-2010-CNF/cryptography/desgen/gss-31-s100.cnf,1,sbs,51.46,ok
SAT-Race-2010-CNF/cryptography/desgen/gss-31-s100.cnf,1,sunny,48.63,ok
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-07.cnf,1,Expectation_algorithm_survival_forest,250.97,ok
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-07.cnf,1,PAR10_algorithm_survival_forest,250.97,ok
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-07.cnf,1,isac,250.97,ok
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-07.cnf,1,multiclass_algorithm_selector,250.97,ok
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-07.cnf,1,oracle,111.64,ok
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-07.cnf,1,per_algorithm_RandomForestRegressor_regressor,250.97,ok
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-07.cnf,1,satzilla-11,250.97,ok
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-07.cnf,1,sbs,250.97,ok
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-07.cnf,1,sunny,246.39,ok
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-09.cnf,1,Expectation_algorithm_survival_forest,1200,timeout
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-09.cnf,1,PAR10_algorithm_survival_forest,1200,timeout
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-09.cnf,1,isac,1200,timeout
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-09.cnf,1,multiclass_algorithm_selector,1200,timeout
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-09.cnf,1,oracle,1200,timeout
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-09.cnf,1,per_algorithm_RandomForestRegressor_regressor,1200,timeout
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-09.cnf,1,satzilla-11,1200,timeout
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-09.cnf,1,sbs,1200,timeout
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-09.cnf,1,sunny,1200,timeout
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-10.cnf,1,Expectation_algorithm_survival_forest,1200,timeout
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-10.cnf,1,PAR10_algorithm_survival_forest,1200,timeout
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-10.cnf,1,isac,1200,timeout
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-10.cnf,1,multiclass_algorithm_selector,1200,timeout
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-10.cnf,1,oracle,246.97,ok
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-10.cnf,1,per_algorithm_RandomForestRegressor_regressor,620.75,ok
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-10.cnf,1,satzilla-11,1200,timeout
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-10.cnf,1,sbs,1200,timeout
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-10.cnf,1,sunny,246.97,ok
SAT-Race-2010-CNF/cryptography/mizh/md5_47_4.cnf,1,Expectation_algorithm_survival_forest,1200,timeout
SAT-Race-2010-CNF/cryptography/mizh/md5_47_4.cnf,1,PAR10_algorithm_survival_forest,1200,timeout
SAT-Race-2010-CNF/cryptography/mizh/md5_47_4.cnf,1,isac,1200,timeout
SAT-Race-2010-CNF/cryptography/mizh/md5_47_4.cnf,1,multiclass_algorithm_selector,1200,timeout
SAT-Race-2010-CNF/cryptography/mizh/md5_47_4.cnf,1,oracle,1200,timeout
SAT-Race-2010-CNF/cryptography/mizh/md5_47_4.cnf,1,per_algorithm_RandomForestRegressor_regressor,1200,timeout
SAT-Race-2010-CNF/cryptography/mizh/md5_47_4.cnf,1,satzilla-11,1200,timeout
SAT-Race-2010-CNF/cryptography/mizh/md5_47_4.cnf,1,sbs,1200,timeout
SAT-Race-2010-CNF/cryptography/mizh/md5_47_4.cnf,1,sunny,1200,timeout
SAT-Race-2010-CNF/cryptography/mizh/md5_48_1.cnf,1,Expectation_algorithm_survival_forest,4.05,ok
